id,Authorid,Quote,tags
14,9,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",['love']
15,10,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",['fantasy']
16,11,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”","['life', 'navigation']"
17,12,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”","['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']"
18,13,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”","['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']"
19,14,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”","['books', 'contentment', 'friends', 'friendship', 'life']"
20,15,“Life is what happens to us while we are making other plans.”,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']"
21,16,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”","['love', 'poetry']"
22,17,“For every minute you are angry you lose sixty seconds of happiness.”,['happiness']
23,18,"“If you judge people, you have no time to love them.”",['attributed-no-source']
24,19,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,"['humor', 'religion']"
25,20,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,['humor']
26,10,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","['comedy', 'life', 'yourself']"
27,1,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”","['children', 'fairy-tales']"
28,2,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",[]
29,1,“Logic will get you from A to Z; imagination will get you everywhere.”,['imagination']
30,9,"“One good thing about music, when it hits you, you feel no pain.”",['music']
31,10,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","['learning', 'reading', 'seuss']"
32,2,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",['dumbledore']
33,9,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",['friendship']
34,18,“Not all of us can do great things. But we can do small things with great love.”,"['misattributed-to-mother-teresa', 'paraphrased']"
35,2,"“To the well-organized mind, death is but the next great adventure.”","['death', 'inspirational']"
36,21,“All you need is love. But a little chocolate now and then doesn't hurt.”,"['chocolate', 'food', 'humor']"
37,22,“We read to know we're not alone.”,"['misattributed-to-c-s-lewis', 'reading']"
38,1,“Any fool can know. The point is to understand.”,"['knowledge', 'learning', 'understanding', 'wisdom']"
39,23,“I have always imagined that Paradise will be a kind of library.”,"['books', 'library']"
40,24,“It is never too late to be what you might have been.”,['inspirational']
41,25,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”","['read', 'readers', 'reading', 'reading-books']"
42,26,“You can never get a cup of tea large enough or a book long enough to suit me.”,"['books', 'inspirational', 'reading', 'tea']"
43,4,“You believe lies so you eventually learn to trust no one but yourself.”,[]
44,4,"“If you can make a woman laugh, you can make her do anything.”","['girls', 'love']"
45,1,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”","['life', 'simile']"
46,4,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,['love']
47,4,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",['attributed-no-source']
48,27,“Only in the darkness can you see the stars.”,"['hope', 'inspirational']"
49,2,"“It matters not what someone is born, but what they grow to be.”",['dumbledore']
50,28,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",['love']
51,3,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","['friendship', 'love']"
52,7,“Do one thing every day that scares you.”,"['attributed', 'fear', 'inspiration']"
53,4,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",['attributed-no-source']
54,1,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",['music']
55,29,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","['books', 'thought']"
56,30,“The difference between genius and stupidity is: genius has its limits.”,['misattributed-to-einstein']
57,31,"“He's like a drug for you, Bella.”","['drug', 'romance', 'simile']"
58,32,“There is no friend as loyal as a book.”,"['books', 'friends', 'novelist-quotes']"
59,33,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",['inspirational']
60,34,“Life isn't about finding yourself. Life is about creating yourself.”,"['inspirational', 'life', 'yourself']"
61,35,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",['alcohol']
62,36,“You don’t forget the face of the person who was your last hope.”,['the-hunger-games']
63,36,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",['humor']
64,26,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",['love']
65,37,“Not all those who wander are lost.”,"['bilbo', 'journey', 'lost', 'quest', 'travel', 'wander']"
66,2,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",['live-death-love']
67,32,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,"['good', 'writing']"
68,17,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,"['life', 'regrets']"
69,14,“I have never let my schooling interfere with my education.”,['education']
70,10,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,['troubles']
71,38,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,"['friendship', 'love']"
72,35,“Some people never go crazy. What truly horrible lives they must lead.”,['humor']
73,39,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","['humor', 'open-mind', 'thinking']"
74,10,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”","['humor', 'philosophy']"
75,40,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","['authors', 'books', 'literature', 'reading', 'writing']"
76,41,“The reason I talk to myself is because I’m the only one whose answers I accept.”,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']"
77,42,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”","['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']"
78,43,“I am free of all prejudice. I hate everyone equally. ”,"['humor', 'sinister']"
79,44,“The question isn't who is going to let me; it's who is going to stop me.”,[]
80,14,“′Classic′ - a book which people praise and don't read.”,"['books', 'classic', 'reading']"
81,1,“Anyone who has never made a mistake has never tried anything new.”,['mistakes']
82,3,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","['humor', 'love', 'romantic', 'women']"
83,2,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",['integrity']
84,3,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","['books', 'library', 'reading']"
85,3,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”","['elizabeth-bennet', 'jane-austen']"
86,26,“Some day you will be old enough to start reading fairy tales again.”,"['age', 'fairytales', 'growing-up']"
87,26,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,['god']
88,14,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,"['death', 'life']"
89,14,“A lie can travel half way around the world while the truth is putting on its shoes.”,"['misattributed-mark-twain', 'truth']"
90,26,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","['christianity', 'faith', 'religion', 'sun']"
91,2,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",['truth']
92,45,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","['death', 'life']"
93,46,“To die will be an awfully big adventure.”,"['adventure', 'love']"
94,47,“It takes courage to grow up and become who you really are.”,['courage']
95,48,“But better to get hurt by the truth than comforted with a lie.”,['life']
96,49,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,['better-life-empathy']
97,50,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”","['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']"
98,14,“Never tell the truth to people who are not worthy of it.”,['truth']
99,10,"“A person's a person, no matter how small.”",['inspirational']
100,25,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","['books', 'mind']"
